"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Search a bank account","FAILURE","2022-10-20T17:52:17.682+08:00[Asia/Shanghai]","0.0","49.51"
"Payments","Manual payment with multiple documents","ERROR","2022-10-20T18:02:21.666+08:00[Asia/Shanghai]","0.0","286.51"
"Payments","Application of prepayment full","FAILURE","2022-10-20T18:07:09.032+08:00[Asia/Shanghai]","0.0","410.01"
"Payments","Manual payment with zero payments","ERROR","2022-10-20T18:18:53.756+08:00[Asia/Shanghai]","0.0","241.79"
"Payments","Application of prepayment partial","FAILURE","2022-10-20T18:26:59.969+08:00[Asia/Shanghai]","0.0","408.51"
"Pre registration","Pre logging and gl distribution voucher match","ERROR","2022-10-20T18:33:58.725+08:00[Asia/Shanghai]","0.0","142.5"
"Redistribution","Pre logging GL distribution current year","ERROR","2022-10-20T18:47:48.088+08:00[Asia/Shanghai]","0.0","62.37"
"Redistribution","Pre logging GL distribution prior year","ERROR","2022-10-20T18:48:51.199+08:00[Asia/Shanghai]","0.0","70.8"
"Redistribution","Voucher match with tolerance","ERROR","2022-10-20T18:50:02.738+08:00[Asia/Shanghai]","0.0","117.04"
"Review AP entries","Reversal of unposted PO redistribution","ERROR","2022-10-20T19:06:41.469+08:00[Asia/Shanghai]","0.0","83.56"
"Review AP entries","Reversal of unposted voucher match","ERROR","2022-10-20T19:18:13.29+08:00[Asia/Shanghai]","0.0","135.93"
"Review AP entries","Check edit button for voucher entry and redistribute GL","ERROR","2022-10-20T19:20:29.982+08:00[Asia/Shanghai]","0.0","141.31"
"Supplier creation","Search a supplier","FAILURE","2022-10-20T19:46:40.973+08:00[Asia/Shanghai]","0.0","74.36"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2022-10-20T19:47:56.075+08:00[Asia/Shanghai]","0.0","77.26"
"Unbilled PO receipts","Matching receipt","FAILURE","2022-10-20T19:54:00.667+08:00[Asia/Shanghai]","0.0","96.24"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2022-10-20T19:55:37.674+08:00[Asia/Shanghai]","0.0","81.44"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2022-10-20T19:56:59.892+08:00[Asia/Shanghai]","0.0","87.35"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2022-10-20T19:58:28.013+08:00[Asia/Shanghai]","0.0","77.09"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2022-10-20T19:59:45.903+08:00[Asia/Shanghai]","0.0","87.72"
"Voucher entries","Release retention full","FAILURE","2022-10-20T20:01:15.165+08:00[Asia/Shanghai]","0.0","94.16"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2022-10-20T20:05:53.856+08:00[Asia/Shanghai]","0.0","93.22"
"Voucher entries","Search and post PV","ERROR","2022-10-20T20:15:53.014+08:00[Asia/Shanghai]","0.0","116.69"
"Voucher entries","Voucher match with tax","ERROR","2022-10-20T20:21:58.462+08:00[Asia/Shanghai]","0.0","107.97"
"Voucher entries","Partial voucher match","ERROR","2022-10-20T20:23:47.173+08:00[Asia/Shanghai]","0.0","104.9"
"Voucher entries","Voucher match with retention","ERROR","2022-10-20T20:25:32.823+08:00[Asia/Shanghai]","0.0","88.49"
"Voucher entries","Voucher entry import CSV file","ERROR","2022-10-20T20:27:02.594+08:00[Asia/Shanghai]","0.0","145.74"
