"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2022-10-20T17:48:01.262+08:00[Asia/Shanghai]","0.0","79.76"
"Manage bank account","Add a bank account","SUCCESS","2022-10-20T17:49:23.803+08:00[Asia/Shanghai]","0.0","87.51"
"Manage bank account","Edit a bank account","SUCCESS","2022-10-20T17:50:52.049+08:00[Asia/Shanghai]","0.0","84.9"
"Manage bank account","Activate a bank account","SUCCESS","2022-10-20T17:53:08.131+08:00[Asia/Shanghai]","0.0","54.82"
"Manage bank account","Manage bank account using GVAGL bank account","SUCCESS","2022-10-20T17:54:03.67+08:00[Asia/Shanghai]","0.0","230.62"
"Payments","Manual payment partial","SUCCESS","2022-10-20T17:57:59.487+08:00[Asia/Shanghai]","0.0","261.4"
"Payments","Manual payment with negative amount","SUCCESS","2022-10-20T18:13:59.843+08:00[Asia/Shanghai]","0.0","293.18"
"Payments","Manual payment full","SUCCESS","2022-10-20T18:22:56.296+08:00[Asia/Shanghai]","0.0","242.93"
"Pre registration","Pre logging multi docs","SUCCESS","2022-10-20T18:36:21.98+08:00[Asia/Shanghai]","0.0","232.05"
"Pre registration","Pre logging","SUCCESS","2022-10-20T18:40:14.782+08:00[Asia/Shanghai]","0.0","122.2"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2022-10-20T18:42:17.737+08:00[Asia/Shanghai]","0.0","120.56"
"Pre registration","Pre logging simple","SUCCESS","2022-10-20T18:44:19.07+08:00[Asia/Shanghai]","0.0","87.47"
"Pre registration","Pre logging with tax rate","SUCCESS","2022-10-20T18:45:47.286+08:00[Asia/Shanghai]","0.0","117.59"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2022-10-20T18:52:01.435+08:00[Asia/Shanghai]","0.0","363.68"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2022-10-20T18:58:06.048+08:00[Asia/Shanghai]","0.0","332.58"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2022-10-20T19:03:39.367+08:00[Asia/Shanghai]","0.0","181.33"
"Review AP entries","Create voucher entry and edit","SUCCESS","2022-10-20T19:08:05.797+08:00[Asia/Shanghai]","0.0","191.84"
"Review AP entries","Edit AP entries","SUCCESS","2022-10-20T19:11:18.369+08:00[Asia/Shanghai]","0.0","174.97"
"Review AP entries","Review voucher AP entries","SUCCESS","2022-10-20T19:14:14.096+08:00[Asia/Shanghai]","0.0","173.17"
"Review AP entries","Search payment","SUCCESS","2022-10-20T19:17:07.993+08:00[Asia/Shanghai]","0.0","64.57"
"Review AP entries","Print payment form","SUCCESS","2022-10-20T19:22:52.025+08:00[Asia/Shanghai]","0.0","95.32"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2022-10-20T19:24:28.091+08:00[Asia/Shanghai]","0.0","239.99"
"Review AP entries","Payment information","SUCCESS","2022-10-20T19:28:28.827+08:00[Asia/Shanghai]","0.0","92.6"
"Review AP entries","Delete voucher AP entry","SUCCESS","2022-10-20T19:30:02.188+08:00[Asia/Shanghai]","0.0","158.42"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2022-10-20T19:32:41.342+08:00[Asia/Shanghai]","0.0","255.55"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2022-10-20T19:36:57.623+08:00[Asia/Shanghai]","0.0","209.82"
"Supplier creation","View a supplier","SUCCESS","2022-10-20T19:40:39.215+08:00[Asia/Shanghai]","0.0","65.29"
"Supplier creation","Edit a supplier","SUCCESS","2022-10-20T19:41:45.726+08:00[Asia/Shanghai]","0.0","139.58"
"Supplier creation","Payment terms update","SUCCESS","2022-10-20T19:44:06.551+08:00[Asia/Shanghai]","0.0","153.68"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2022-10-20T19:49:14.101+08:00[Asia/Shanghai]","0.0","114.26"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2022-10-20T19:51:10.159+08:00[Asia/Shanghai]","0.0","169.77"
