"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2022-10-20T20:02:50.084+08:00[Asia/Shanghai]","0.0","183.04"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2022-10-20T20:07:27.846+08:00[Asia/Shanghai]","0.0","235.19"
"Voucher entries","Checking line reference place holder","SUCCESS","2022-10-20T20:11:23.796+08:00[Asia/Shanghai]","0.0","268.42"
"Voucher entries","Voucher entry delete a line","SUCCESS","2022-10-20T20:17:50.493+08:00[Asia/Shanghai]","0.0","247.2"
"Voucher entries","Voucher entry multi docs","SUCCESS","2022-10-20T20:33:19.564+08:00[Asia/Shanghai]","0.0","350.28"
"Voucher entries","Voucher entry proceed to payment","SUCCESS","2022-10-20T20:43:27.049+08:00[Asia/Shanghai]","0.0","244.62"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2022-10-20T21:08:18.208+08:00[Asia/Shanghai]","0.0","217.19"
"Voucher entries","Creating voucher entry","SUCCESS","2022-10-20T21:16:01.378+08:00[Asia/Shanghai]","0.0","161.77"
"Voucher entries","Release retention adding a line","SUCCESS","2022-10-20T21:18:43.861+08:00[Asia/Shanghai]","0.0","238.08"
"Voucher entries","Voucher entry credit memo","SUCCESS","2022-10-20T21:24:24.509+08:00[Asia/Shanghai]","0.0","200.18"
