"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Search a bank account","FAILURE","2022-10-20T17:52:17.682+08:00[Asia/Shanghai]","0.0","49.51"
"Payments","Application of prepayment full","FAILURE","2022-10-20T18:07:09.032+08:00[Asia/Shanghai]","0.0","410.01"
"Payments","Application of prepayment partial","FAILURE","2022-10-20T18:26:59.969+08:00[Asia/Shanghai]","0.0","408.51"
"Supplier creation","Search a supplier","FAILURE","2022-10-20T19:46:40.973+08:00[Asia/Shanghai]","0.0","74.36"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2022-10-20T19:47:56.075+08:00[Asia/Shanghai]","0.0","77.26"
"Unbilled PO receipts","Matching receipt","FAILURE","2022-10-20T19:54:00.667+08:00[Asia/Shanghai]","0.0","96.24"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2022-10-20T19:55:37.674+08:00[Asia/Shanghai]","0.0","81.44"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2022-10-20T19:56:59.892+08:00[Asia/Shanghai]","0.0","87.35"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2022-10-20T19:58:28.013+08:00[Asia/Shanghai]","0.0","77.09"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2022-10-20T19:59:45.903+08:00[Asia/Shanghai]","0.0","87.72"
"Voucher entries","Release retention full","FAILURE","2022-10-20T20:01:15.165+08:00[Asia/Shanghai]","0.0","94.16"
"Voucher entries","Voucher match with retention and tax","FAILURE","2022-10-20T20:58:10.873+08:00[Asia/Shanghai]","0.0","100.06"
"General ledger entries","Create general ledger entry using sustainability accounts","FAILURE","2022-10-20T21:40:20.497+08:00[Asia/Shanghai]","0.0","161.69"
