"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2022-10-20T18:52:01.435+08:00[Asia/Shanghai]","0.0","363.68"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2022-10-20T18:58:06.048+08:00[Asia/Shanghai]","0.0","332.58"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2022-10-20T19:03:39.367+08:00[Asia/Shanghai]","0.0","181.33"
"Review AP entries","Create voucher entry and edit","SUCCESS","2022-10-20T19:08:05.797+08:00[Asia/Shanghai]","0.0","191.84"
"Review AP entries","Edit AP entries","SUCCESS","2022-10-20T19:11:18.369+08:00[Asia/Shanghai]","0.0","174.97"
"Review AP entries","Review voucher AP entries","SUCCESS","2022-10-20T19:14:14.096+08:00[Asia/Shanghai]","0.0","173.17"
"Review AP entries","Search payment","SUCCESS","2022-10-20T19:17:07.993+08:00[Asia/Shanghai]","0.0","64.57"
"Review AP entries","Print payment form","SUCCESS","2022-10-20T19:22:52.025+08:00[Asia/Shanghai]","0.0","95.32"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2022-10-20T19:24:28.091+08:00[Asia/Shanghai]","0.0","239.99"
"Review AP entries","Payment information","SUCCESS","2022-10-20T19:28:28.827+08:00[Asia/Shanghai]","0.0","92.6"
"Review AP entries","Delete voucher AP entry","SUCCESS","2022-10-20T19:30:02.188+08:00[Asia/Shanghai]","0.0","158.42"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2022-10-20T19:32:41.342+08:00[Asia/Shanghai]","0.0","255.55"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2022-10-20T19:36:57.623+08:00[Asia/Shanghai]","0.0","209.82"
