"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2022-10-20T17:48:01.262+08:00[Asia/Shanghai]","0.0","79.76"
"Manage bank account","Add a bank account","SUCCESS","2022-10-20T17:49:23.803+08:00[Asia/Shanghai]","0.0","87.51"
"Manage bank account","Edit a bank account","SUCCESS","2022-10-20T17:50:52.049+08:00[Asia/Shanghai]","0.0","84.9"
"Manage bank account","Search a bank account","FAILURE","2022-10-20T17:52:17.682+08:00[Asia/Shanghai]","0.0","49.51"
"Manage bank account","Activate a bank account","SUCCESS","2022-10-20T17:53:08.131+08:00[Asia/Shanghai]","0.0","54.82"
"Manage bank account","Manage bank account using GVAGL bank account","SUCCESS","2022-10-20T17:54:03.67+08:00[Asia/Shanghai]","0.0","230.62"
"Payments","Create voucher entry and manual payment","IGNORED","2022-10-20T17:57:59.036+08:00[Asia/Shanghai]","0.0","0.37"
"Payments","Manual payment partial","SUCCESS","2022-10-20T17:57:59.487+08:00[Asia/Shanghai]","0.0","261.4"
"Payments","Manual payment with multiple documents","ERROR","2022-10-20T18:02:21.666+08:00[Asia/Shanghai]","0.0","286.51"
"Payments","Application of prepayment full","FAILURE","2022-10-20T18:07:09.032+08:00[Asia/Shanghai]","0.0","410.01"
"Payments","Manual payment with negative amount","SUCCESS","2022-10-20T18:13:59.843+08:00[Asia/Shanghai]","0.0","293.18"
"Payments","Manual payment with zero payments","ERROR","2022-10-20T18:18:53.756+08:00[Asia/Shanghai]","0.0","241.79"
"Payments","Manual payment full","SUCCESS","2022-10-20T18:22:56.296+08:00[Asia/Shanghai]","0.0","242.93"
"Payments","Application of prepayment partial","FAILURE","2022-10-20T18:26:59.969+08:00[Asia/Shanghai]","0.0","408.51"
"Pre registration","Pre logging and gl distribution voucher match","ERROR","2022-10-20T18:33:58.725+08:00[Asia/Shanghai]","0.0","142.5"
"Pre registration","Pre logging multi docs","SUCCESS","2022-10-20T18:36:21.98+08:00[Asia/Shanghai]","0.0","232.05"
"Pre registration","Pre logging","SUCCESS","2022-10-20T18:40:14.782+08:00[Asia/Shanghai]","0.0","122.2"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2022-10-20T18:42:17.737+08:00[Asia/Shanghai]","0.0","120.56"
"Pre registration","Pre logging simple","SUCCESS","2022-10-20T18:44:19.07+08:00[Asia/Shanghai]","0.0","87.47"
"Pre registration","Pre logging with tax rate","SUCCESS","2022-10-20T18:45:47.286+08:00[Asia/Shanghai]","0.0","117.59"
"Redistribution","Pre logging GL distribution current year","ERROR","2022-10-20T18:47:48.088+08:00[Asia/Shanghai]","0.0","62.37"
"Redistribution","Pre logging GL distribution prior year","ERROR","2022-10-20T18:48:51.199+08:00[Asia/Shanghai]","0.0","70.8"
"Redistribution","Voucher match with tolerance","ERROR","2022-10-20T18:50:02.738+08:00[Asia/Shanghai]","0.0","117.04"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2022-10-20T18:52:01.435+08:00[Asia/Shanghai]","0.0","363.68"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2022-10-20T18:58:06.048+08:00[Asia/Shanghai]","0.0","332.58"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2022-10-20T19:03:39.367+08:00[Asia/Shanghai]","0.0","181.33"
"Review AP entries","Reversal of unposted PO redistribution","ERROR","2022-10-20T19:06:41.469+08:00[Asia/Shanghai]","0.0","83.56"
"Review AP entries","Create voucher entry and edit","SUCCESS","2022-10-20T19:08:05.797+08:00[Asia/Shanghai]","0.0","191.84"
"Review AP entries","Edit AP entries","SUCCESS","2022-10-20T19:11:18.369+08:00[Asia/Shanghai]","0.0","174.97"
"Review AP entries","Review voucher AP entries","SUCCESS","2022-10-20T19:14:14.096+08:00[Asia/Shanghai]","0.0","173.17"
"Review AP entries","Search payment","SUCCESS","2022-10-20T19:17:07.993+08:00[Asia/Shanghai]","0.0","64.57"
"Review AP entries","Reversal of unposted voucher match","ERROR","2022-10-20T19:18:13.29+08:00[Asia/Shanghai]","0.0","135.93"
